Sample_ID,Donor,Treatment,Timepoint
MK434_001,HAQ2,DMSO,6hr
MK434_002,HAQ2,DiABZi_5nM,6hr
MK434_003,HAQ2,DiABZi_25nM,6hr
MK434_004,HAQ2,ST002_25uM,6hr
MK434_005,HAQ2,ST002_50uM,6hr
MK434_006,HAQ2,ST012_25uM,6hr
MK434_007,HAQ2,ST012_50uM,6hr
MK434_008,HAQ2,ST020_25uM,6hr
MK434_009,HAQ2,ST020_50uM,6hr
MK434_010,HAQ2,INI3069_25uM,6hr
MK434_011,HAQ2,INI3069_50uM,6hr
MK434_012,WT5,DMSO,6hr
MK434_013,WT5,DiABZi_5nM,6hr
MK434_014,WT5,DiABZi_25nM,6hr
MK434_015,WT5,ST002_25uM,6hr
MK434_016,WT5,ST002_50uM,6hr
MK434_017,WT5,ST012_25uM,6hr
MK434_018,WT5,ST012_50uM,6hr
MK434_019,WT5,ST020_25uM,6hr
MK434_020,WT5,ST020_50uM,6hr
MK434_021,WT5,INI3069_25uM,6hr
MK434_022,WT5,INI3069_50uM,6hr
MK434_023,WT5,1148_10uM,6hr
MK434_024,HAQ2,DMSO,24hr
MK434_025,HAQ2,DiABZi_5nM,24hr
MK434_026,HAQ2,DiABZi_25nM,24hr
MK434_027,HAQ2,ST002_25uM,24hr
MK434_028,HAQ2,ST002_50uM,24hr
MK434_029,HAQ2,ST012_25uM,24hr
MK434_030,HAQ2,ST012_50uM,24hr
MK434_031,HAQ2,ST020_25uM,24hr
MK434_032,HAQ2,ST020_50uM,24hr
MK434_033,HAQ2,INI3069_25uM,24hr
MK434_034,HAQ2,INI3069_50uM,24hr
MK434_035,WT5,DMSO,24hr
MK434_036,WT5,DiABZi_5nM,24hr
MK434_037,WT5,DiABZi_25nM,24hr
MK434_038,WT5,ST002_25uM,24hr
MK434_039,WT5,ST002_50uM,24hr
MK434_040,WT5,ST012_25uM,24hr
MK434_041,WT5,ST012_50uM,24hr
MK434_042,WT5,ST020_25uM,24hr
MK434_043,WT5,ST020_50uM,24hr
MK434_044,WT5,INI3069_25uM,24hr
MK434_045,WT5,INI3069_50uM,24hr
MK434_046,WT5,1148_10uM,24hr
MK434_047,WT5,Mock,24hr
MK434_048,BRIDGING,BRIDGING,BRIDGING
MK434_049,WT1,DMSO,6hr
MK434_050,WT1,DiABZi_5nM,6hr
MK434_051,WT1,DiABZi_25nM,6hr
MK434_052,WT1,ST002_25uM,6hr
MK434_053,WT1,ST002_50uM,6hr
MK434_054,WT1,ST012_25uM,6hr
MK434_055,WT1,ST012_50uM,6hr
MK434_056,WT1,ST020_25uM,6hr
MK434_057,WT1,ST020_50uM,6hr
MK434_058,WT1,INI3069_25uM,6hr
MK434_059,WT1,INI3069_50uM,6hr
MK434_060,WT2,DMSO,6hr
MK434_061,WT2,DiABZi_5nM,6hr
MK434_062,WT2,DiABZi_25nM,6hr
MK434_063,WT2,ST002_25uM,6hr
MK434_064,WT2,ST002_50uM,6hr
MK434_065,WT2,ST012_25uM,6hr
MK434_066,WT2,ST012_50uM,6hr
MK434_067,WT2,ST020_25uM,6hr
MK434_068,WT2,ST020_50uM,6hr
MK434_069,WT2,INI3069_25uM,6hr
MK434_070,WT2,INI3069_50uM,6hr
MK434_071,HAQ1,DMSO,6hr
MK434_072,HAQ1,DiABZi_5nM,6hr
MK434_073,HAQ1,DiABZi_25nM,6hr
MK434_074,HAQ1,ST002_25uM,6hr
MK434_075,HAQ1,ST002_50uM,6hr
MK434_076,HAQ1,ST012_25uM,6hr
MK434_077,HAQ1,ST012_50uM,6hr
MK434_078,HAQ1,ST020_25uM,6hr
MK434_079,HAQ1,ST020_50uM,6hr
MK434_080,HAQ1,INI3069_25uM,6hr
MK434_081,HAQ1,INI3069_50uM,6hr
MK434_082,WT3,DMSO,6hr
MK434_083,WT3,DiABZi_5nM,6hr
MK434_084,WT3,DiABZi_25nM,6hr
MK434_085,WT3,ST002_25uM,6hr
MK434_086,WT3,ST002_50uM,6hr
MK434_087,WT3,ST012_25uM,6hr
MK434_088,WT3,ST012_50uM,6hr
MK434_089,WT3,ST020_25uM,6hr
MK434_090,WT3,ST020_50uM,6hr
MK434_091,WT3,INI3069_25uM,6hr
MK434_092,WT3,INI3069_50uM,6hr
MK434_093,WT4,DMSO,6hr
MK434_094,WT4,DiABZi_5nM,6hr
MK434_095,WT4,DiABZi_25nM,6hr
MK434_096,WT4,ST002_25uM,6hr
MK434_097,WT4,ST002_50uM,6hr
MK434_098,WT4,ST012_25uM,6hr
MK434_099,WT4,ST012_50uM,6hr
MK434_100,WT4,ST020_25uM,6hr
MK434_101,WT4,ST020_50uM,6hr
MK434_102,WT4,INI3069_25uM,6hr
MK434_103,WT4,INI3069_50uM,6hr
MK434_104,WT1,DMSO,24hr
MK434_105,WT1,DiABZi_5nM,24hr
MK434_106,WT1,DiABZi_25nM,24hr
MK434_107,WT1,ST002_25uM,24hr
MK434_108,WT1,ST002_50uM,24hr
MK434_109,WT1,ST012_25uM,24hr
MK434_110,WT1,ST012_50uM,24hr
MK434_111,WT1,ST020_25uM,24hr
MK434_112,WT1,ST020_50uM,24hr
MK434_113,WT1,INI3069_25uM,24hr
MK434_114,WT1,INI3069_50uM,24hr
MK434_115,WT2,DMSO,24hr
MK434_116,WT2,DiABZi_5nM,24hr
MK434_117,WT2,DiABZi_25nM,24hr
MK434_118,WT2,ST002_25uM,24hr
MK434_119,WT2,ST002_50uM,24hr
MK434_120,WT2,ST012_25uM,24hr
MK434_121,WT2,ST012_50uM,24hr
MK434_122,WT2,ST020_25uM,24hr
MK434_123,WT2,ST020_50uM,24hr
MK434_124,WT2,INI3069_25uM,24hr
MK434_125,WT2,INI3069_50uM,24hr
MK434_126,HAQ1,DMSO,24hr
MK434_127,HAQ1,DiABZi_5nM,24hr
MK434_128,HAQ1,DiABZi_25nM,24hr
MK434_129,HAQ1,ST002_25uM,24hr
MK434_130,HAQ1,ST002_50uM,24hr
MK434_131,HAQ1,ST012_25uM,24hr
MK434_132,HAQ1,ST012_50uM,24hr
MK434_133,HAQ1,ST020_25uM,24hr
MK434_134,HAQ1,ST020_50uM,24hr
MK434_135,HAQ1,INI3069_25uM,24hr
MK434_136,HAQ1,INI3069_50uM,24hr
MK434_137,WT3,DMSO,24hr
MK434_138,WT3,DiABZi_5nM,24hr
MK434_139,WT3,DiABZi_25nM,24hr
MK434_140,WT3,ST002_25uM,24hr
MK434_141,WT3,ST002_50uM,24hr
MK434_142,WT3,ST012_25uM,24hr
MK434_143,WT3,ST012_50uM,24hr
MK434_144,WT3,ST020_25uM,24hr
MK434_145,WT3,ST020_50uM,24hr
MK434_146,WT3,INI3069_25uM,24hr
MK434_147,WT3,INI3069_50uM,24hr
MK434_148,WT4,DMSO,24hr
MK434_149,WT4,DiABZi_5nM,24hr
MK434_150,WT4,DiABZi_25nM,24hr
MK434_151,WT4,ST002_25uM,24hr
MK434_152,WT4,ST002_50uM,24hr
MK434_153,WT4,ST012_25uM,24hr
MK434_154,WT4,ST012_50uM,24hr
MK434_155,WT4,ST020_25uM,24hr
MK434_156,WT4,ST020_50uM,24hr
MK434_157,WT4,INI3069_25uM,24hr
MK434_158,WT4,INI3069_50uM,24hr
MK434_159,WT4,IL15,24hr
MK434_160,BRIDGING,BRIDGING,BRIDGING
